	unit
Water Consumption Blue - Manufacturing - Copper products	Mm3
Water Consumption Blue - Manufacturing - Secondary copper for treatment, Re-processing of secondary copper into new copper	Mm3
Water Consumption Blue - Manufacturing - Other non-ferrous metal products	Mm3
Water Consumption Blue - Manufacturing - Secondary other non-ferrous metals for treatment, Re-processing of secondary other non-ferrous metals into new other non-ferrous metals	Mm3
Water Consumption Blue - Manufacturing - Fabricated metal products, except machinery and equipment (28)	Mm3
Water Consumption Blue - Manufacturing - Machinery and equipment n.e.c. (29)	Mm3
Water Consumption Blue - Manufacturing - Office machinery and computers (30)	Mm3
Water Consumption Blue - Manufacturing - Electrical machinery and apparatus n.e.c. (31)	Mm3
Water Consumption Blue - Manufacturing - Radio, television and communication equipment and apparatus (32)	Mm3
Water Consumption Blue - Manufacturing - Medical, precision and optical instruments, watches and clocks (33)	Mm3
Water Consumption Blue - Manufacturing - Motor vehicles, trailers and semi-trailers (34)	Mm3
Water Consumption Blue - Manufacturing - Other transport equipment (35)	Mm3
Water Consumption Blue - Manufacturing - Furniture; other manufactured goods n.e.c. (36)	Mm3
Water Consumption Blue - Electricity - tower - Electricity by coal	Mm3
Water Consumption Blue - Electricity - tower - Electricity by gas	Mm3
Water Consumption Blue - Electricity - tower - Electricity by nuclear	Mm3
Water Consumption Blue - Electricity - tower - Electricity by hydro	Mm3
Water Consumption Blue - Electricity - tower - Electricity by wind	Mm3
Water Consumption Blue - Electricity - tower - Electricity by petroleum and other oil derivatives	Mm3
Water Consumption Blue - Electricity - tower - Electricity by biomass and waste	Mm3
Water Consumption Blue - Electricity - tower - Electricity by solar photovoltaic	Mm3
Water Consumption Blue - Electricity - tower - Electricity by solar thermal	Mm3
Water Consumption Blue - Electricity - tower - Electricity by tide, wave, ocean	Mm3
Water Consumption Blue - Electricity - tower - Electricity by Geothermal	Mm3
Water Consumption Blue - Electricity - tower - Electricity nec	Mm3
Water Consumption Blue - Electricity - once-through - Electricity by coal	Mm3
Water Consumption Blue - Electricity - once-through - Electricity by gas	Mm3
Water Consumption Blue - Electricity - once-through - Electricity by nuclear	Mm3
Water Consumption Blue - Electricity - once-through - Electricity by hydro	Mm3
Water Consumption Blue - Electricity - once-through - Electricity by wind	Mm3
Water Consumption Blue - Electricity - once-through - Electricity by petroleum and other oil derivatives	Mm3
Water Consumption Blue - Electricity - once-through - Electricity by biomass and waste	Mm3
Water Consumption Blue - Electricity - once-through - Electricity by solar photovoltaic	Mm3
Water Consumption Blue - Electricity - once-through - Electricity by solar thermal	Mm3
Water Consumption Blue - Electricity - once-through - Electricity by tide, wave, ocean	Mm3
Water Consumption Blue - Electricity - once-through - Electricity by Geothermal	Mm3
Water Consumption Blue - Electricity - once-through - Electricity nec	Mm3
Water Consumption Blue - Domestic - domestic Water Consumption Blue	Mm3
Water Withdrawal Blue - Manufacturing - Products of meat cattle	Mm3
Water Withdrawal Blue - Manufacturing - Products of meat pigs	Mm3
Water Withdrawal Blue - Manufacturing - Products of meat poultry	Mm3
Water Withdrawal Blue - Manufacturing - Meat products nec	Mm3
Water Withdrawal Blue - Manufacturing - products of Vegetable oils and fats	Mm3
Water Withdrawal Blue - Manufacturing - Dairy products	Mm3
Water Withdrawal Blue - Manufacturing - Processed rice	Mm3
Water Withdrawal Blue - Manufacturing - Sugar	Mm3
Water Withdrawal Blue - Manufacturing - Food products nec	Mm3
Water Withdrawal Blue - Manufacturing - Beverages	Mm3
Water Withdrawal Blue - Manufacturing - Fish products	Mm3
Water Withdrawal Blue - Manufacturing - Tobacco products (16)	Mm3
Water Withdrawal Blue - Manufacturing - Textiles (17)	Mm3
Water Withdrawal Blue - Manufacturing - Wearing apparel; furs (18)	Mm3
Water Withdrawal Blue - Manufacturing - Leather and leather products (19)	Mm3
Water Withdrawal Blue - Manufacturing - Pulp	Mm3
Water Withdrawal Blue - Manufacturing - Secondary paper for treatment, Re-processing of secondary paper into new pulp	Mm3
Water Withdrawal Blue - Manufacturing - Paper and paper products	Mm3
Water Withdrawal Blue - Manufacturing - Printed matter and recorded media (22)	Mm3
Water Withdrawal Blue - Manufacturing - Plastics, basic	Mm3
Water Withdrawal Blue - Manufacturing - Secondary plastic for treatment, Re-processing of secondary plastic into new plastic	Mm3
Water Withdrawal Blue - Manufacturing - N-fertiliser	Mm3
Water Withdrawal Blue - Manufacturing - P- and other fertiliser	Mm3
Water Withdrawal Blue - Manufacturing - Chemicals nec	Mm3
Water Withdrawal Blue - Manufacturing - Rubber and plastic products (25)	Mm3
Water Withdrawal Blue - Manufacturing - Glass and glass products	Mm3
Water Withdrawal Blue - Manufacturing - Secondary glass for treatment, Re-processing of secondary glass into new glass	Mm3
Water Withdrawal Blue - Manufacturing - Ceramic goods	Mm3
Water Withdrawal Blue - Manufacturing - Bricks, tiles and construction products, in baked clay	Mm3
Water Withdrawal Blue - Manufacturing - Cement, lime and plaster	Mm3
Water Withdrawal Blue - Manufacturing - Ash for treatment, Re-processing of ash into clinker	Mm3
Water Withdrawal Blue - Manufacturing - Other non-metallic mineral products	Mm3
Water Withdrawal Blue - Manufacturing - Basic iron and steel and of ferro-alloys and first products thereof	Mm3
Water Withdrawal Blue - Manufacturing - Secondary steel for treatment, Re-processing of secondary steel into new steel	Mm3
Water Withdrawal Blue - Manufacturing - Precious metals	Mm3
Water Withdrawal Blue - Manufacturing - Secondary preciuos metals for treatment, Re-processing of secondary preciuos metals into new preciuos metals	Mm3
Water Withdrawal Blue - Manufacturing - Aluminium and aluminium products	Mm3
Water Withdrawal Blue - Manufacturing - Secondary aluminium for treatment, Re-processing of secondary aluminium into new aluminium	Mm3
Water Withdrawal Blue - Manufacturing - Lead, zinc and tin and products thereof	Mm3
Water Withdrawal Blue - Manufacturing - Secondary lead for treatment, Re-processing of secondary lead into new lead	Mm3
Water Withdrawal Blue - Manufacturing - Copper products	Mm3
Water Withdrawal Blue - Manufacturing - Secondary copper for treatment, Re-processing of secondary copper into new copper	Mm3
Water Withdrawal Blue - Manufacturing - Other non-ferrous metal products	Mm3
Water Withdrawal Blue - Manufacturing - Secondary other non-ferrous metals for treatment, Re-processing of secondary other non-ferrous metals into new other non-ferrous metals	Mm3
Water Withdrawal Blue - Manufacturing - Fabricated metal products, except machinery and equipment (28)	Mm3
Water Withdrawal Blue - Manufacturing - Machinery and equipment n.e.c. (29)	Mm3
Water Withdrawal Blue - Manufacturing - Office machinery and computers (30)	Mm3
Water Withdrawal Blue - Manufacturing - Electrical machinery and apparatus n.e.c. (31)	Mm3
Water Withdrawal Blue - Manufacturing - Radio, television and communication equipment and apparatus (32)	Mm3
Water Withdrawal Blue - Manufacturing - Medical, precision and optical instruments, watches and clocks (33)	Mm3
Water Withdrawal Blue - Manufacturing - Motor vehicles, trailers and semi-trailers (34)	Mm3
Water Withdrawal Blue - Manufacturing - Other transport equipment (35)	Mm3
Water Withdrawal Blue - Manufacturing - Furniture; other manufactured goods n.e.c. (36)	Mm3
Water Withdrawal Blue - Electricity - tower - Electricity by coal	Mm3
Water Withdrawal Blue - Electricity - tower - Electricity by gas	Mm3
Water Withdrawal Blue - Electricity - tower - Electricity by nuclear	Mm3
Water Withdrawal Blue - Electricity - tower - Electricity by hydro	Mm3
Water Withdrawal Blue - Electricity - tower - Electricity by wind	Mm3
Water Withdrawal Blue - Electricity - tower - Electricity by petroleum and other oil derivatives	Mm3
Water Withdrawal Blue - Electricity - tower - Electricity by biomass and waste	Mm3
Water Withdrawal Blue - Electricity - tower - Electricity by solar photovoltaic	Mm3
Water Withdrawal Blue - Electricity - tower - Electricity by solar thermal	Mm3
Water Withdrawal Blue - Electricity - tower - Electricity by tide, wave, ocean	Mm3
Water Withdrawal Blue - Electricity - tower - Electricity by Geothermal	Mm3
Water Withdrawal Blue - Electricity - tower - Electricity nec	Mm3
Water Withdrawal Blue - Electricity - once-through - Electricity by coal	Mm3
Water Withdrawal Blue - Electricity - once-through - Electricity by gas	Mm3
Water Withdrawal Blue - Electricity - once-through - Electricity by nuclear	Mm3
Water Withdrawal Blue - Electricity - once-through - Electricity by hydro	Mm3
Water Withdrawal Blue - Electricity - once-through - Electricity by wind	Mm3
Water Withdrawal Blue - Electricity - once-through - Electricity by petroleum and other oil derivatives	Mm3
Water Withdrawal Blue - Electricity - once-through - Electricity by biomass and waste	Mm3
Water Withdrawal Blue - Electricity - once-through - Electricity by solar photovoltaic	Mm3
Water Withdrawal Blue - Electricity - once-through - Electricity by solar thermal	Mm3
Water Withdrawal Blue - Electricity - once-through - Electricity by tide, wave, ocean	Mm3
Water Withdrawal Blue - Electricity - once-through - Electricity by Geothermal	Mm3
Water Withdrawal Blue - Electricity - once-through - Electricity nec	Mm3
Water Withdrawal Blue - Domestic - domestic Water Withdrawal Blue	Mm3
Energy Carrier Net Additives/Blending Components	TJ
Energy Carrier Net Anthracite	TJ
Energy Carrier Net Aviation Gasoline	TJ
Energy Carrier Net BKB/Peat Briquettes	TJ
Energy Carrier Net Biodiesels	TJ
Energy Carrier Net Biogas	TJ
Energy Carrier Net Biogasoline	TJ
Energy Carrier Net Bitumen	TJ
Energy Carrier Net Blast Furnace Gas	TJ
Energy Carrier Net Charcoal	TJ
Energy Carrier Net Coal Tar	TJ
Energy Carrier Net Coke Oven Coke	TJ
Energy Carrier Net Coke oven gas	TJ
Energy Carrier Net Coking Coal	TJ
Energy Carrier Net Crops nec	TJ
Energy Carrier Net Crude petroleum and services related to crude oil extraction, excluding surveying	TJ
Energy Carrier Net Electricity by Geothermal	TJ
Energy Carrier Net Electricity by biomass and waste	TJ
Energy Carrier Net Electricity by coal	TJ
Energy Carrier Net Electricity by gas	TJ
Energy Carrier Net Electricity by hydro	TJ
Energy Carrier Net Electricity by nuclear	TJ
Energy Carrier Net Electricity by petroleum and other oil derivatives	TJ
Energy Carrier Net Electricity by solar photovoltaic	TJ
Energy Carrier Net Electricity by solar thermal	TJ
Energy Carrier Net Electricity by tide, wave, ocean	TJ
Energy Carrier Net Electricity by wind	TJ
Energy Carrier Net Electricity nec	TJ
Energy Carrier Net Ethane	TJ
Energy Carrier Net Food products nec	TJ
Energy Carrier Net Food waste for treatment: incineration	TJ
Energy Carrier Net Gas Coke	TJ
Energy Carrier Net Gas Works Gas	TJ
Energy Carrier Net Gas/Diesel Oil	TJ
Energy Carrier Net Gasoline Type Jet Fuel	TJ
Energy Carrier Net Heavy Fuel Oil	TJ
Energy Carrier Net Intert/metal waste for treatment: incineration	TJ
Energy Carrier Net Kerosene	TJ
Energy Carrier Net Kerosene Type Jet Fuel	TJ
Energy Carrier Net Lignite/Brown Coal	TJ
Energy Carrier Net Liquefied Petroleum Gases (LPG)	TJ
Energy Carrier Net Lubricants	TJ
Energy Carrier Net Manure (biogas treatment)	TJ
Energy Carrier Net Manure (conventional treatment)	TJ
Energy Carrier Net Motor Gasoline	TJ
Energy Carrier Net Naphtha	TJ
Energy Carrier Net Natural Gas Liquids	TJ
Energy Carrier Net Natural gas and services related to natural gas extraction, excluding surveying	TJ
Energy Carrier Net Non-specified Petroleum Products	TJ
Energy Carrier Net Nuclear fuel	TJ
Energy Carrier Net Oil/hazardous waste for treatment: incineration	TJ
Energy Carrier Net Other Bituminous Coal	TJ
Energy Carrier Net Other Hydrocarbons	TJ
Energy Carrier Net Other Liquid Biofuels	TJ
Energy Carrier Net Oxygen Steel Furnace Gas	TJ
Energy Carrier Net Paper waste for treatment: incineration	TJ
Energy Carrier Net Paraffin Waxes	TJ
Energy Carrier Net Patent Fuel	TJ
Energy Carrier Net Peat	TJ
Energy Carrier Net Petroleum Coke	TJ
Energy Carrier Net Plastic waste for treatment: incineration	TJ
Energy Carrier Net Products of forestry, logging and related services (02)	TJ
Energy Carrier Net Pulp	TJ
Energy Carrier Net Refinery Feedstocks	TJ
Energy Carrier Net Refinery Gas	TJ
Energy Carrier Net Secondary paper for treatment, Re-processing of secondary paper into new pulp	TJ
Energy Carrier Net Steam and hot water supply services	TJ
Energy Carrier Net Sub-Bituminous Coal	TJ
Energy Carrier Net Sugar	TJ
Energy Carrier Net Textiles waste for treatment: incineration	TJ
Energy Carrier Net Uranium and thorium ores (12)	TJ
Energy Carrier Net White Spirit & SBP	TJ
Energy Carrier Net Wood material for treatment, Re-processing of secondary wood material into new wood material	TJ
Energy Carrier Net Wood waste for treatment: incineration	TJ
Energy Carrier Net NENE Anthracite	TJ
Energy Carrier Net NENE Bitumen	TJ
Energy Carrier Net NENE BKB/Peat Briquettes	TJ
Energy Carrier Net NENE Blast Furnace Gas	TJ
Energy Carrier Net NENE Coal Tar	TJ
Energy Carrier Net NENE Coke Oven Coke	TJ
Energy Carrier Net NENE Coke oven gas	TJ
Energy Carrier Net NENE Coking Coal	TJ
Energy Carrier Net NENE Crude petroleum and services related to crude oil extraction, excluding surveying	TJ
Energy Carrier Net NENE Ethane	TJ
Energy Carrier Net NENE Gas Works Gas	TJ
Energy Carrier Net NENE Gas/Diesel Oil	TJ
Energy Carrier Net NENE Heavy Fuel Oil	TJ
Energy Carrier Net NENE Kerosene	TJ
Energy Carrier Net NENE Kerosene Type Jet Fuel	TJ
Energy Carrier Net NENE Lignite/Brown Coal	TJ
Energy Carrier Net NENE Liquefied Petroleum Gases (LPG)	TJ
Energy Carrier Net NENE Lubricants	TJ
Energy Carrier Net NENE Motor Gasoline	TJ
Energy Carrier Net NENE Naphtha	TJ
Energy Carrier Net NENE Natural gas and services related to natural gas extraction, excluding surveying	TJ
Energy Carrier Net NENE Natural Gas Liquids	TJ
Energy Carrier Net NENE Non-specified Petroleum Products	TJ
Energy Carrier Net NENE Other Bituminous Coal	TJ
Energy Carrier Net NENE Oxygen Steel Furnace Gas	TJ
Energy Carrier Net NENE Paraffin Waxes	TJ
Energy Carrier Net NENE Patent Fuel	TJ
Energy Carrier Net NENE Peat	TJ
Energy Carrier Net NENE Petroleum Coke	TJ
Energy Carrier Net NENE Refinery Gas	TJ
Energy Carrier Net NENE Sub-Bituminous Coal	TJ
Energy Carrier Net NENE White Spirit & SBP	TJ
Energy Carrier Net NTRA Additives/Blending Components	TJ
Energy Carrier Net NTRA Anthracite	TJ
Energy Carrier Net NTRA Aviation Gasoline	TJ
Energy Carrier Net NTRA Biodiesels	TJ
Energy Carrier Net NTRA Biogas	TJ
Energy Carrier Net NTRA Biogasoline	TJ
Energy Carrier Net NTRA Bitumen	TJ
Energy Carrier Net NTRA BKB/Peat Briquettes	TJ
Energy Carrier Net NTRA Blast Furnace Gas	TJ
Energy Carrier Net NTRA Charcoal	TJ
Energy Carrier Net NTRA Coal Tar	TJ
Energy Carrier Net NTRA Coke Oven Coke	TJ
Energy Carrier Net NTRA Coke oven gas	TJ
Energy Carrier Net NTRA Coking Coal	TJ
Energy Carrier Net NTRA Crops nec	TJ
Energy Carrier Net NTRA Crude petroleum and services related to crude oil extraction, excluding surveying	TJ
Energy Carrier Net NTRA Electricity by biomass and waste	TJ
Energy Carrier Net NTRA Electricity by coal	TJ
Energy Carrier Net NTRA Electricity by gas	TJ
Energy Carrier Net NTRA Electricity by Geothermal	TJ
Energy Carrier Net NTRA Electricity by hydro	TJ
Energy Carrier Net NTRA Electricity by nuclear	TJ
Energy Carrier Net NTRA Electricity by petroleum and other oil derivatives	TJ
Energy Carrier Net NTRA Electricity by solar photovoltaic	TJ
Energy Carrier Net NTRA Electricity by solar thermal	TJ
Energy Carrier Net NTRA Electricity by tide, wave, ocean	TJ
Energy Carrier Net NTRA Electricity by wind	TJ
Energy Carrier Net NTRA Electricity nec	TJ
Energy Carrier Net NTRA Ethane	TJ
Energy Carrier Net NTRA Food products nec	TJ
Energy Carrier Net NTRA Food waste for treatment: incineration	TJ
Energy Carrier Net NTRA Gas Coke	TJ
Energy Carrier Net NTRA Gas Works Gas	TJ
Energy Carrier Net NTRA Gas/Diesel Oil	TJ
Energy Carrier Net NTRA Heavy Fuel Oil	TJ
Energy Carrier Net NTRA Intert/metal waste for treatment: incineration	TJ
Energy Carrier Net NTRA Kerosene	TJ
Energy Carrier Net NTRA Kerosene Type Jet Fuel	TJ
Energy Carrier Net NTRA Lignite/Brown Coal	TJ
Energy Carrier Net NTRA Liquefied Petroleum Gases (LPG)	TJ
Energy Carrier Net NTRA Lubricants	TJ
Energy Carrier Net NTRA Manure (biogas treatment)	TJ
Energy Carrier Net NTRA Manure (conventional treatment)	TJ
Energy Carrier Net NTRA Motor Gasoline	TJ
Energy Carrier Net NTRA Naphtha	TJ
Energy Carrier Net NTRA Natural gas and services related to natural gas extraction, excluding surveying	TJ
Energy Carrier Net NTRA Natural Gas Liquids	TJ
Energy Carrier Net NTRA Non-specified Petroleum Products	TJ
Energy Carrier Net NTRA Oil/hazardous waste for treatment: incineration	TJ
Energy Carrier Net NTRA Other Bituminous Coal	TJ
Energy Carrier Net NTRA Other Hydrocarbons	TJ
Energy Carrier Net NTRA Other Liquid Biofuels	TJ
Energy Carrier Net NTRA Oxygen Steel Furnace Gas	TJ
Energy Carrier Net NTRA Paper waste for treatment: incineration	TJ
Energy Carrier Net NTRA Paraffin Waxes	TJ
Energy Carrier Net NTRA Patent Fuel	TJ
Energy Carrier Net NTRA Peat	TJ
Energy Carrier Net NTRA Petroleum Coke	TJ
Energy Carrier Net NTRA Plastic waste for treatment: incineration	TJ
Energy Carrier Net NTRA Products of forestry, logging and related services (02)	TJ
Energy Carrier Net NTRA Pulp	TJ
Energy Carrier Net NTRA Refinery Gas	TJ
Energy Carrier Net NTRA Secondary paper for treatment, Re-processing of secondary paper into new pulp	TJ
Energy Carrier Net NTRA Steam and hot water supply services	TJ
Energy Carrier Net NTRA Sub-Bituminous Coal	TJ
Energy Carrier Net NTRA Sugar	TJ
Energy Carrier Net NTRA Textiles waste for treatment: incineration	TJ
Energy Carrier Net NTRA White Spirit & SBP	TJ
Energy Carrier Net NTRA Wood material for treatment, Re-processing of secondary wood material into new wood material	TJ
Energy Carrier Net NTRA Wood waste for treatment: incineration	TJ
Energy Carrier Net TAVI Aviation Gasoline	TJ
Energy Carrier Net TAVI Gas/Diesel Oil	TJ
Energy Carrier Net TAVI Gasoline Type Jet Fuel	TJ
Energy Carrier Net TAVI Heavy Fuel Oil	TJ
Energy Carrier Net TAVI Kerosene	TJ
Energy Carrier Net TAVI Kerosene Type Jet Fuel	TJ
Energy Carrier Net TAVI Liquefied Petroleum Gases (LPG)	TJ
Energy Carrier Net TAVI Motor Gasoline	TJ
Energy Carrier Net TMAR Biodiesels	TJ
Energy Carrier Net TMAR Biogasoline	TJ
Energy Carrier Net TMAR Bitumen	TJ
Energy Carrier Net TMAR Coke Oven Coke	TJ
Energy Carrier Net TMAR Food products nec	TJ
Energy Carrier Net TMAR Gas/Diesel Oil	TJ
Energy Carrier Net TMAR Heavy Fuel Oil	TJ
Energy Carrier Net TMAR Kerosene	TJ
Energy Carrier Net TMAR Kerosene Type Jet Fuel	TJ
Energy Carrier Net TMAR Liquefied Petroleum Gases (LPG)	TJ
Energy Carrier Net TMAR Lubricants	TJ
Energy Carrier Net TMAR Motor Gasoline	TJ
Energy Carrier Net TMAR Natural gas and services related to natural gas extraction, excluding surveying	TJ
Energy Carrier Net TMAR Non-specified Petroleum Products	TJ
Energy Carrier Net TMAR Other Bituminous Coal	TJ
Energy Carrier Net TMAR Sub-Bituminous Coal	TJ
Energy Carrier Net TOTH Additives/Blending Components	TJ
Energy Carrier Net TOTH Anthracite	TJ
Energy Carrier Net TOTH Biodiesels	TJ
Energy Carrier Net TOTH Biogas	TJ
Energy Carrier Net TOTH Bitumen	TJ
Energy Carrier Net TOTH BKB/Peat Briquettes	TJ
Energy Carrier Net TOTH Coke Oven Coke	TJ
Energy Carrier Net TOTH Crops nec	TJ
Energy Carrier Net TOTH Crude petroleum and services related to crude oil extraction, excluding surveying	TJ
Energy Carrier Net TOTH Electricity by biomass and waste	TJ
Energy Carrier Net TOTH Electricity by coal	TJ
Energy Carrier Net TOTH Electricity by gas	TJ
Energy Carrier Net TOTH Electricity by Geothermal	TJ
Energy Carrier Net TOTH Electricity by hydro	TJ
Energy Carrier Net TOTH Electricity by nuclear	TJ
Energy Carrier Net TOTH Electricity by petroleum and other oil derivatives	TJ
Energy Carrier Net TOTH Electricity by solar photovoltaic	TJ
Energy Carrier Net TOTH Electricity by solar thermal	TJ
Energy Carrier Net TOTH Electricity by tide, wave, ocean	TJ
Energy Carrier Net TOTH Electricity by wind	TJ
Energy Carrier Net TOTH Food products nec	TJ
Energy Carrier Net TOTH Gas/Diesel Oil	TJ
Energy Carrier Net TOTH Heavy Fuel Oil	TJ
Energy Carrier Net TOTH Kerosene	TJ
Energy Carrier Net TOTH Kerosene Type Jet Fuel	TJ
Energy Carrier Net TOTH Lignite/Brown Coal	TJ
Energy Carrier Net TOTH Liquefied Petroleum Gases (LPG)	TJ
Energy Carrier Net TOTH Motor Gasoline	TJ
Energy Carrier Net TOTH Natural gas and services related to natural gas extraction, excluding surveying	TJ
Energy Carrier Net TOTH Non-specified Petroleum Products	TJ
Energy Carrier Net TOTH Other Bituminous Coal	TJ
Energy Carrier Net TOTH Products of forestry, logging and related services (02)	TJ
Energy Carrier Net TOTH Pulp	TJ
Energy Carrier Net TOTH Secondary paper for treatment, Re-processing of secondary paper into new pulp	TJ
Energy Carrier Net TOTH Sub-Bituminous Coal	TJ
Energy Carrier Net TOTH Sugar	TJ
Energy Carrier Net TRAI Anthracite	TJ
Energy Carrier Net TRAI Biodiesels	TJ
Energy Carrier Net TRAI BKB/Peat Briquettes	TJ
Energy Carrier Net TRAI Coke Oven Coke	TJ
Energy Carrier Net TRAI Coking Coal	TJ
Energy Carrier Net TRAI Crops nec	TJ
Energy Carrier Net TRAI Electricity by biomass and waste	TJ
Energy Carrier Net TRAI Electricity by coal	TJ
Energy Carrier Net TRAI Electricity by gas	TJ
Energy Carrier Net TRAI Electricity by Geothermal	TJ
Energy Carrier Net TRAI Electricity by hydro	TJ
Energy Carrier Net TRAI Electricity by nuclear	TJ
Energy Carrier Net TRAI Electricity by petroleum and other oil derivatives	TJ
Energy Carrier Net TRAI Electricity by solar photovoltaic	TJ
Energy Carrier Net TRAI Electricity by solar thermal	TJ
Energy Carrier Net TRAI Electricity by tide, wave, ocean	TJ
Energy Carrier Net TRAI Electricity by wind	TJ
Energy Carrier Net TRAI Electricity nec	TJ
Energy Carrier Net TRAI Food products nec	TJ
Energy Carrier Net TRAI Gas/Diesel Oil	TJ
Energy Carrier Net TRAI Heavy Fuel Oil	TJ
Energy Carrier Net TRAI Kerosene	TJ
Energy Carrier Net TRAI Lignite/Brown Coal	TJ
Energy Carrier Net TRAI Liquefied Petroleum Gases (LPG)	TJ
Energy Carrier Net TRAI Lubricants	TJ
Energy Carrier Net TRAI Motor Gasoline	TJ
Energy Carrier Net TRAI Non-specified Petroleum Products	TJ
Energy Carrier Net TRAI Other Bituminous Coal	TJ
Energy Carrier Net TRAI Peat	TJ
Energy Carrier Net TRAI Products of forestry, logging and related services (02)	TJ
Energy Carrier Net TRAI Pulp	TJ
Energy Carrier Net TRAI Secondary paper for treatment, Re-processing of secondary paper into new pulp	TJ
Energy Carrier Net TRAI Sub-Bituminous Coal	TJ
Energy Carrier Net TRAI Sugar	TJ
Energy Carrier Net TRAI White Spirit & SBP	TJ
Energy Carrier Net TROA Biodiesels	TJ
Energy Carrier Net TROA Biogas	TJ
Energy Carrier Net TROA Biogasoline	TJ
Energy Carrier Net TROA Electricity by biomass and waste	TJ
Energy Carrier Net TROA Electricity by coal	TJ
Energy Carrier Net TROA Electricity by gas	TJ
Energy Carrier Net TROA Electricity by nuclear	TJ
Energy Carrier Net TROA Electricity by petroleum and other oil derivatives	TJ
Energy Carrier Net TROA Food products nec	TJ
Energy Carrier Net TROA Gas/Diesel Oil	TJ
Energy Carrier Net TROA Heavy Fuel Oil	TJ
Energy Carrier Net TROA Kerosene	TJ
Energy Carrier Net TROA Kerosene Type Jet Fuel	TJ
Energy Carrier Net TROA Liquefied Petroleum Gases (LPG)	TJ
Energy Carrier Net TROA Motor Gasoline	TJ
Energy Carrier Net TROA Naphtha	TJ
Energy Carrier Net TROA Natural gas and services related to natural gas extraction, excluding surveying	TJ
Energy Carrier Net TROA Natural Gas Liquids	TJ
Energy Carrier Net TROA Non-specified Petroleum Products	TJ
Energy Carrier Net TROA Other Liquid Biofuels	TJ
Energy Carrier Net TROA Products of forestry, logging and related services (02)	TJ
Energy Carrier Net TROA Pulp	TJ
Energy Carrier Net TROA Refinery Gas	TJ
Energy Carrier Net TROA Sugar	TJ
Energy Carrier Net TROA White Spirit & SBP	TJ
Energy Carrier Net LOSS Additives/Blending Components	TJ
Energy Carrier Net LOSS Anthracite	TJ
Energy Carrier Net LOSS Aviation Gasoline	TJ
Energy Carrier Net LOSS Biodiesels	TJ
Energy Carrier Net LOSS Biogas	TJ
Energy Carrier Net LOSS Biogasoline	TJ
Energy Carrier Net LOSS Bitumen	TJ
Energy Carrier Net LOSS BKB/Peat Briquettes	TJ
Energy Carrier Net LOSS Blast Furnace Gas	TJ
Energy Carrier Net LOSS Charcoal	TJ
Energy Carrier Net LOSS Coal Tar	TJ
Energy Carrier Net LOSS Coke Oven Coke	TJ
Energy Carrier Net LOSS Coke oven gas	TJ
Energy Carrier Net LOSS Coking Coal	TJ
Energy Carrier Net LOSS Crops nec	TJ
Energy Carrier Net LOSS Crude petroleum and services related to crude oil extraction, excluding surveying	TJ
Energy Carrier Net LOSS Electricity by biomass and waste	TJ
Energy Carrier Net LOSS Electricity by coal	TJ
Energy Carrier Net LOSS Electricity by gas	TJ
Energy Carrier Net LOSS Electricity by Geothermal	TJ
Energy Carrier Net LOSS Electricity by hydro	TJ
Energy Carrier Net LOSS Electricity by nuclear	TJ
Energy Carrier Net LOSS Electricity by petroleum and other oil derivatives	TJ
Energy Carrier Net LOSS Electricity by solar photovoltaic	TJ
Energy Carrier Net LOSS Electricity by solar thermal	TJ
Energy Carrier Net LOSS Electricity by tide, wave, ocean	TJ
Energy Carrier Net LOSS Electricity by wind	TJ
Energy Carrier Net LOSS Electricity nec	TJ
Energy Carrier Net LOSS Ethane	TJ
Energy Carrier Net LOSS Food products nec	TJ
Energy Carrier Net LOSS Food waste for treatment: incineration	TJ
Energy Carrier Net LOSS Gas Coke	TJ
Energy Carrier Net LOSS Gas Works Gas	TJ
Energy Carrier Net LOSS Gas/Diesel Oil	TJ
Energy Carrier Net LOSS Gasoline Type Jet Fuel	TJ
Energy Carrier Net LOSS Heavy Fuel Oil	TJ
Energy Carrier Net LOSS Intert/metal waste for treatment: incineration	TJ
Energy Carrier Net LOSS Kerosene	TJ
Energy Carrier Net LOSS Kerosene Type Jet Fuel	TJ
Energy Carrier Net LOSS Lignite/Brown Coal	TJ
Energy Carrier Net LOSS Liquefied Petroleum Gases (LPG)	TJ
Energy Carrier Net LOSS Lubricants	TJ
Energy Carrier Net LOSS Manure (biogas treatment)	TJ
Energy Carrier Net LOSS Manure (conventional treatment)	TJ
Energy Carrier Net LOSS Motor Gasoline	TJ
Energy Carrier Net LOSS Naphtha	TJ
Energy Carrier Net LOSS Natural gas and services related to natural gas extraction, excluding surveying	TJ
Energy Carrier Net LOSS Natural Gas Liquids	TJ
Energy Carrier Net LOSS Non-specified Petroleum Products	TJ
Energy Carrier Net LOSS Nuclear fuel	TJ
Energy Carrier Net LOSS Oil/hazardous waste for treatment: incineration	TJ
Energy Carrier Net LOSS Other Bituminous Coal	TJ
Energy Carrier Net LOSS Other Hydrocarbons	TJ
Energy Carrier Net LOSS Other Liquid Biofuels	TJ
Energy Carrier Net LOSS Oxygen Steel Furnace Gas	TJ
Energy Carrier Net LOSS Paper waste for treatment: incineration	TJ
Energy Carrier Net LOSS Paraffin Waxes	TJ
Energy Carrier Net LOSS Patent Fuel	TJ
Energy Carrier Net LOSS Peat	TJ
