A,DEG1,PPS_HH,EU27_2020	: 	: 	: 	: 	: 	27224 	26827 s
A,DEG1,PPS_HH,FI	: 	16152 	18457 	25914 	25647 	31219 	: 
A,DEG1,PPS_HH,FR	15072 	: 	25134 	27833 	27393 	29838 	29128 e
A,DEG1,PPS_HH,HR	: 	: 	: 	19424 	18959 	22358 	24584 
A,DEG1,PPS_HH,HU	: 	: 	: 	11900 	15457 	18576 	22319 
A,DEG1,PPS_HH,IE	: 	: 	34919 	: 	36674 	35437 	: 
A,DEG1,PPS_HH,IT	17019 	22665 	28527 	28880 	28986 	30470 	29003 
A,DEG1,PPS_HH,LT	: 	: 	: 	11501 	17391 	20168 	20456 
A,DEG1,PPS_HH,LU	28301 	: 	40483 	47824 	43521 	43987 	45519 
A,DEG1,PPS_HH,LV	: 	: 	: 	12228 	12911 	15450 	18549 
A,DEG1,PPS_HH,MT	: 	: 	: 	: 	26795 	28166 	26812 e
A,DEG1,PPS_HH,NL	: 	: 	: 	: 	29683 	31171 	32027 
A,DEG1,PPS_HH,NO	: 	: 	: 	30651 	36827 	37345 	: 
A,DEG1,PPS_HH,PL	: 	: 	: 	11437 	16488 	19585 	17883 
A,DEG1,PPS_HH,PT	13649 	19464 	21106 	23766 	25623 	27560 	: 
A,DEG1,PPS_HH,RO	: 	: 	: 	: 	: 	14084 	17920 
A,DEG1,PPS_HH,SE	: 	18065 	22529 	26380 	28089 	28488 	: 
A,DEG1,PPS_HH,SI	: 	: 	: 	26358 	27886 	28166 	28408 
A,DEG1,PPS_HH,SK	: 	: 	: 	12789 	16619 	19768 	17191 
A,DEG1,PPS_HH,UK	21628 	20063 	27210 	31480 	23661 	24722 	: 
A,DEG1,PPS_HH,XK	: 	: 	: 	: 	: 	16119 	: 
A,DEG2,PPS_AE,AT	: 	: 	16326 	19453 	22502 	23546 	24193 
A,DEG2,PPS_AE,BE	10487 	13807 	16864 	19282 	20206 	23221 	20377 
A,DEG2,PPS_AE,BG	: 	: 	: 	4102 	4658 	6599 	7578 
A,DEG2,PPS_AE,CY	: 	: 	: 	15247 	25000 	18714 	17977 e
A,DEG2,PPS_AE,CZ	: 	: 	: 	6279 	8031 	9557 	10551 
A,DEG2,PPS_AE,DE	11046 	13488 	: 	18964 	19394 	21305 	22593 
A,DEG2,PPS_AE,DK	: 	13427 	15821 	16077 	20503 	20812 	22475 
A,DEG2,PPS_AE,EA	: 	: 	: 	16721 u	17861 s	: 	: 
A,DEG2,PPS_AE,EA12	: 	: 	: 	16746 u	18165 s	: 	: 
A,DEG2,PPS_AE,EA13	: 	: 	: 	16721 u	18147 s	: 	: 
A,DEG2,PPS_AE,EA17	: 	: 	: 	: 	17953 s	: 	: 
A,DEG2,PPS_AE,EA18	: 	: 	: 	: 	17861 s	: 	: 
A,DEG2,PPS_AE,EE	: 	: 	: 	9782 u	7419 	10786 	12868 
A,DEG2,PPS_AE,EEA28	: 	: 	: 	15758 u	16186 s	: 	: 
A,DEG2,PPS_AE,EEA30_2007	: 	: 	: 	: 	16009 s	: 	: 
A,DEG2,PPS_AE,EFTA	: 	: 	: 	18615 u	22817 u	: 	: 
A,DEG2,PPS_AE,EL	8792 	: 	: 	16039 	18371 	15471 	13953 
A,DEG2,PPS_AE,ES	: 	9105 	9578 	13381 	17446 	17981 	16775 
A,DEG2,PPS_AE,EU15	: 	: 	: 	17558 u	17554 s	: 	: 
A,DEG2,PPS_AE,EU25	: 	: 	: 	15728 u	16117 s	: 	: 
A,DEG2,PPS_AE,EU27_2007	: 	: 	: 	15525 u	15940 s	: 	: 
A,DEG2,PPS_AE,EU27_2020	: 	: 	: 	: 	: 	17166 	17045 s
A,DEG2,PPS_AE,FI	: 	10091 	11847 	16572 	18926 	20274 	: 
A,DEG2,PPS_AE,FR	9101 	: 	15118 	16350 	17004 	18589 	18146 e
A,DEG2,PPS_AE,HR	: 	: 	: 	9505 	9805 	11384 	11422 
A,DEG2,PPS_AE,HU	: 	: 	: 	5979 	8580 	9957 	13871 
A,DEG2,PPS_AE,IE	: 	: 	14051 	: 	17823 	18284 	: 
A,DEG2,PPS_AE,IT	9091 	12888 	15123 	17101 	17604 	18951 	17100 
A,DEG2,PPS_AE,LT	: 	: 	: 	: 	7564 	9695 	10520 
A,DEG2,PPS_AE,LU	14496 	: 	26332 	34175 	30976 	34735 	30401 
A,DEG2,PPS_AE,LV	: 	: 	: 	7038 u	: u	9707 	10070 
A,DEG2,PPS_AE,MT	: 	: 	: 	14860 	13292 	14417 	13724 e
A,DEG2,PPS_AE,NL	: 	: 	: 	: 	19588 	22216 	22623 
A,DEG2,PPS_AE,NO	: 	: 	: 	18615 	22817 	25297 	: 
A,DEG2,PPS_AE,PL	: 	: 	: 	5477 	8070 	10243 	9610 
A,DEG2,PPS_AE,PT	5515 	7050 	8970 	11125 	13235 	14065 	: 
A,DEG2,PPS_AE,RO	: 	: 	: 	: 	: 	6574 	8378 
