Products
Distribution services of gaseous fuels through mains
"Natural gas and services related to natural gas extraction, excluding surveying"
"Retail  trade services, except of motor vehicles and motorcycles; repair services of personal and household goods (52)"
Health and social work services (85)
"Textiles, apparel, furs, leather"
Railway transportation services
Inland water transportation services
"Financial intermediation services, insurances"
Other business services (74)
Extra-territorial organizations and bodies
N-fertiliser
Aluminium and aluminium products
Composting and land application
Machinery and equipment n.e.c. (29)
Private households with employed persons (95)
"Wholesale trade and commission trade services, except of motor vehicles and motorcycles (51)"
Basic iron and steel and of ferro-alloys and first products thereof
Fish and other fishing products; services incidental of fishing (05)
Research and development services (73)
Cereal grains nec
Office machinery and computers (30)
Air transport services (62)
Petroleum products
Other services (93)
P- and other fertiliser
Education services (80)
Crops nec
Renting services of machinery and equipment without operator and of personal and household goods (71)
Biofuels
"Other food, beverages, tobacco"
Computer and related services (72)
"Recreational, cultural and sporting services (92)"
Printed matter and recorded media (22)
Membership organisation services n.e.c. (91)
"Crude petroleum and services related to crude oil extraction, excluding surveying"
Precious metals
Furniture; other manufactured goods n.e.c. (36)
Vehicles and transport equipment
Post and telecommunication services (64)
Sea and coastal water transportation services
Paddy rice
Electricity by wind
Public administration and defence services; compulsory social security services (75)
Construction work (45)
products of Vegetable oils and fats
Oil seeds
Landfill
Electricity by hydro
Supporting and auxiliary transport services; travel agency services (63)
Rubber and plastic products (25)
Other non-metallic mineral products
Steam and hot water supply services
"Plastics, basic"
"Secondary lead for treatment, Re-processing of secondary lead into new lead"
Waste incineration
Meat animals nec
Wood and products of wood and cork (except furniture); articles of straw and plaiting materials
Electricity by gas and petroleum products
"Glass, tiles, ceramics, bricks"
Wheat
Chemicals nec
"Products of forestry, logging and related services (02)"
Animal products nec
"Fabricated metal products, except machinery and equipment (28)"
"Produced gas (Gas works, Blast ovens, etc.)"
"Electrical machinery, audiovisual, and medical equipment"
Waste for treatment: biogasification and land application
Electricity by coal
Mining & Quarrying
"Vegetables, fruit, nuts"
Secondary raw materials
Hotel and restaurant services (55)
Foundry work services
Other land transportation services
Raw milk
"Sale, maintenance, repair of motor vehicles, motor vehicles parts, motorcycles, motor cycles parts and accessoiries, fuel stations"
"Collected and purified water, distribution services of water (41)"
Dairy products
Meat products
Coke and Tar
Electricity by nuclear
Real estate services (70)
Pulp
Transportation services via pipelines
Paper and paper products
"Cement, lime and plaster"
"Coal, peat"
Nuclear fuel
Cattle
Charcoal
Transmission and distribution of electricity
Other metals and products thereof
