,CBi,Cities,Towns and suburbs,Rural areas
CP01,879.4538660845053,1560619.8018100718,1695591.9259853445,1824737.1054473333
CP02,46.56411802038963,20657.38961384548,19781.125552725858,21225.732612755142
CP03,35.13703185330254,33485.23576943496,31575.775965913617,24853.69107669079
CP04,4985.544422441375,28998540.979835942,25170818.604342114,20923636.252335515
CP05,603.953942562377,476327.168481142,572345.2519964074,569597.9017489278
CP06,105.84141567910288,43476.63708062861,46692.34378262998,41591.918991630824
CP07,1220.2202521422641,3207882.901138279,3648510.4010638837,4622411.245871322
CP08,90.8177533478976,25367.63444315522,28193.605933194085,31405.574671222315
CP09,481.2846767983932,751252.5087388664,817827.3763659222,688425.1642477015
CP10,133.2848900869653,6569.956107402944,4355.491635355258,2095.0492076231712
CP11,19.98844578393721,14450.803588912351,11430.713536099327,8797.319555653432
CP12,4501.157611667085,4437473.433314174,4706851.152112438,4174356.5546842823
