Stressors
Energy Carrier Use Aviation Gasoline
Energy Carrier Net TOTH Additives/Blending Components
Emission Relevant Energy Carrier Other Hydrocarbons
Energy Carrier Net NTRA Non-specified Petroleum Products
Unused Domestic Extraction - Primary Crops - Barley
"Domestic Extraction Used - Primary Crops - Nuts, nes"
Cd - non combustion - Steel production: electric arc furnace - air
Domestic Extraction Used - Primary Crops - Potatoes
Unused Domestic Extraction - Primary Crops - Karite Nuts
Emission Relevant Energy Carrier White Spirit & SBP
"Domestic Extraction Used - Primary Crops - Roots and Tubers, nes"
PM2.5 - non combustion - Lime production - air
Energy Carrier Supply Anthracite
Domestic Extraction Used - Fossil Fuels - Oil shale and oil sands
PM10 - non combustion - Nickel ores and concentrates - air
"Domestic Extraction Used - Primary Crops - Peas, dry"
Energy Carrier Net NTRA Electricity by Geothermal
Pb - non combustion - Agglomeration plant - pellets - air
Water Consumption Green - Agriculture - other crops
"Hg - non combustion - Refined lead, unwrought - air"
Energy Carrier Net NENE Blast Furnace Gas
"Pb - non combustion - Nickel, unwrought - air"
Energy Carrier Net TRAI Electricity by Geothermal
Emission Relevant Energy Carrier Coal Tar
NMVOC - non combustion - Polystyrene processing - air
Emission Relevant Energy Carrier Anthracite
Water Withdrawal Blue - Electricity - tower - Electricity by nuclear
Unused Domestic Extraction - Primary Crops - Tea
Energy Carrier Net LOSS Other Liquid Biofuels
Unused Domestic Extraction - Primary Crops - Okra
Energy Carrier Net TOTH Kerosene Type Jet Fuel
P - waste - water
Domestic Extraction Used - Primary Crops - Mustard Seed
Water Withdrawal Blue - Electricity - once-through - Electricity by wind
NOx - non combustion - Oil refinery - air
Nature Inputs: Electricity by solar photovoltaic
Energy Carrier Net Electricity nec
Water Consumption Blue - Electricity - once-through - Electricity by solar thermal
Zn - non combustion - Steel production: electric arc furnace - air
Energy Carrier Net NTRA White Spirit & SBP
"Energy Carrier Use Electricity by tide, wave, ocean"
Domestic Extraction Used - Crop residues - Straw
Water Withdrawal Blue - Manufacturing - Other non-metallic mineral products
Unused Domestic Extraction - Primary Crops - Mushrooms
Energy Carrier Use Uranium and thorium ores (12)
Domestic Extraction Used - Primary Crops - Quinoa
Energy Carrier Net LOSS Gas Works Gas
Unused Domestic Extraction - Forestry - Raw materials other than wood
"NMVOC - non combustion - Printing, offset - air"
"Zn - non combustion - Refined lead, unwrought - air"
"TSP - non combustion - Pig iron production, blast furnace - air"
Energy Carrier Net NTRA Intert/metal waste for treatment: incineration
Energy Carrier Net TOTH Crops nec
Nature Inputs: Electricity by hydro
"Energy Carrier Net Products of forestry, logging and related services (02)"
Domestic Extraction Used - Fossil Fuels - Natural gas
Unused Domestic Extraction - Primary Crops - Sour Cherries
Energy Carrier Net TOTH Electricity by Geothermal
Water Consumption Blue - Manufacturing - Basic iron and steel and of ferro-alloys and first products thereof
Energy Carrier Net Kerosene
Domestic Extraction Used - Forestry - Natural Gums
Water Withdrawal Blue - Manufacturing - Paper and paper products
Domestic Extraction Used - Fodder crops - Maize for Forage and Silage
Domestic Extraction Used - Primary Crops - Strawberries
Unused Domestic Extraction - Fodder crops - Grasses nec for Forage and Silage
NOx - non combustion - Steel production: basic oxygen furnace - air
TSP - non combustion - Mining of sub-bituminous coal - air
Energy Carrier Net TAVI Heavy Fuel Oil
Domestic Extraction Used - Primary Crops - Berries nec
"Water Consumption Blue - Manufacturing - Secondary preciuos metals for treatment, Re-processing of secondary preciuos metals into new preciuos metals"
Energy Carrier Supply Oxygen Steel Furnace Gas
Domestic Extraction Used - Primary Crops - Cotton Lint
Domestic Extraction Used - Primary Crops - Triticale
NMVOC - non combustion - Diesel distribution - transport and depots (used in stationary sources) - air
Nature Inputs: Uranium and thorium ores (12)
Unused Domestic Extraction - Primary Crops - Tobacco Leaves
CH4 - non combustion - Extraction/production of crude oil - air
Energy Carrier Use Petroleum Coke
Energy Carrier Use Non-specified Petroleum Products
Domestic Extraction Used - Non-Metallic Minerals - Building stones
Unused Domestic Extraction - Primary Crops - Jojoba Seeds
Energy Carrier Use Motor Gasoline
Energy Carrier Net TAVI Gas/Diesel Oil
"Water Withdrawal Blue - Manufacturing - Secondary paper for treatment, Re-processing of secondary paper into new pulp"
Water Consumption Blue - Manufacturing - Beverages
Water Consumption Blue - Agriculture - sugar crops
Water Consumption Blue - Electricity - once-through - Electricity by solar photovoltaic
Energy Carrier Net Naphtha
Domestic Extraction Used - Primary Crops - Cocoa Beans
Energy Carrier Use Patent Fuel
Energy Carrier Net TMAR Liquefied Petroleum Gases (LPG)
Unused Domestic Extraction - Metal Ores - Silver ores
Unused Domestic Extraction - Non-Metallic Minerals - Gravel and sand
Domestic Extraction Used - Primary Crops - Carrots
Domestic Extraction Used - Primary Crops - Tung Nuts
"Water Withdrawal Blue - Manufacturing - Motor vehicles, trailers and semi-trailers (34)"
